Source.Name,Rk,Team,date,pts,away,opp,result,mp,fg,fga,fgpc,twop,twopa,twofgpc,threep,threepa,threefgpc,ft,fta,ftpc,season
NBA_by_game_1000.csv,942,GSW,2/1/2020,131,away,CLE,W 131-112,240,48,90,0.533,30,55,0.545,18,35,0.514,17,19,0.895,2019-20
NBA_by_game_1000.csv,943,WAS,1/28/2020,131,away,MIL,L 131-151,240,44,94,0.468,30,62,0.484,14,32,0.438,29,34,0.853,2019-20
NBA_by_game_1000.csv,944,HOU,1/24/2020,131,away,MIN,W 131-124,240,47,91,0.516,36,59,0.61,11,32,0.344,26,31,0.839,2019-20
NBA_by_game_1000.csv,945,GSW,1/16/2020,131,,DEN,L 131-134 (OT),265,42,95,0.442,22,50,0.44,20,45,0.444,27,31,0.871,2019-20
NBA_by_game_1000.csv,946,DEN,11/17/2019,131,away,MEM,W 131-114,240,49,89,0.551,31,57,0.544,18,32,0.563,15,23,0.652,2019-20
NBA_by_game_1000.csv,947,DAL,11/3/2019,131,away,CLE,W 131-111,240,50,94,0.532,30,53,0.566,20,41,0.488,11,13,0.846,2019-20
NBA_by_game_1000.csv,948,MIN,11/2/2019,131,away,WAS,W 131-109,240,51,94,0.543,34,55,0.618,17,39,0.436,12,17,0.706,2019-20
NBA_by_game_1000.csv,949,MIA,10/26/2019,131,away,MIL,W 131-126 (OT),265,46,101,0.455,30,57,0.526,16,44,0.364,23,36,0.639,2019-20
NBA_by_game_1000.csv,950,SAC,4/10/2019,131,away,POR,L 131-136,240,50,96,0.521,32,53,0.604,18,43,0.419,13,16,0.813,2018-19
NBA_by_game_1000.csv,951,GSW,4/7/2019,131,,LAC,W 131-104,240,53,97,0.546,41,60,0.683,12,37,0.324,13,15,0.867,2018-19
NBA_by_game_1000.csv,952,MIL,4/1/2019,131,away,BRK,W 131-121,240,47,94,0.5,36,60,0.6,11,34,0.324,26,30,0.867,2018-19
NBA_by_game_1000.csv,953,MIN,3/29/2019,131,,GSW,W 131-130 (OT),265,45,103,0.437,31,65,0.477,14,38,0.368,27,34,0.794,2018-19
NBA_by_game_1000.csv,954,DET,3/10/2019,131,,CHI,W 131-108,240,49,91,0.538,30,56,0.536,19,35,0.543,14,22,0.636,2018-19
NBA_by_game_1000.csv,955,MIL,3/9/2019,131,,CHO,W 131-114,240,44,90,0.489,27,46,0.587,17,44,0.386,26,30,0.867,2018-19
NBA_by_game_1000.csv,956,DET,3/6/2019,131,,MIN,W 131-114,240,50,93,0.538,36,60,0.6,14,33,0.424,17,22,0.773,2018-19
